,polyline_point_index,coordinates,latitude,longitude,elevation_meters,elevation_gains_to_next_meters,elapsed_dist_meters,dist_to_next_coordinate_meters,true_bearing_to_next_coordinate,travel_direction
180,,"(43.467275166037474, -80.53992501469072)",43.467275166037474,-80.53992501469072,292,1.0,4446.065744039404,24.43212711785268,-156.97319731193028,S23°W
181,,"(43.46707278028566, -80.54004311700756)",43.46707278028566,-80.54004311700756,293,0.0,4470.497871157257,24.432127118648395,-156.97327856103936,S23°W
182,,"(43.46687039440469, -80.54016121853633)",43.46687039440469,-80.54016121853633,293,0.0,4494.929998275905,24.432127120503722,-156.97335980696604,S23°W
183,,"(43.466668008394535, -80.54027931927706)",43.466668008394535,-80.54027931927706,293,0.0,4519.362125396408,24.432127117763866,-156.97344105175623,S23°W
184,,"(43.46646562225523, -80.54039741922976)",43.46646562225523,-80.54039741922976,293,0.0,4543.7942525141725,24.43212712138807,-156.97352229498495,S23°W
185,,"(43.466263235986744, -80.54051551839446)",43.466263235986744,-80.54051551839446,293,0.0,4568.226379635561,24.432127119002534,-156.97360354139266,S23°W
186,,"(43.46606084958911, -80.54063361677112)",43.46606084958911,-80.54063361677112,293,1.0,4592.658506754564,24.432127119797563,-156.97368478375688,S23°W
187,,"(43.46585846306231, -80.54075171435979)",43.46585846306231,-80.54075171435979,294,1.0,4617.090633874362,24.432127119533643,-156.9737660249846,S23°W
188,,"(43.46565607640636, -80.54086981116046)",43.46565607640636,-80.54086981116046,295,2.0,4641.522760993896,24.43212712032795,-156.97384726810526,S23°W
189,,"(43.46545368962124, -80.54098790717316)",43.46545368962124,-80.54098790717316,297,1.0,4665.954888114224,24.43212711829535,-156.97392850684741,S23°W
190,,"(43.46525130270698, -80.54110600239788)",43.46525130270698,-80.54110600239788,298,1.0,4690.387015232519,24.432127119444353,-156.97400974532468,S23°W
191,,"(43.46504891566356, -80.54122409683465)",43.46504891566356,-80.54122409683465,299,0.0,4714.819142351963,24.432127118825317,-156.97409098709255,S23°W
192,,"(43.46484652849099, -80.54134219048346)",43.46484652849099,-80.54134219048346,299,0.0,4739.251269470788,24.43212711962035,-156.97417222189893,S23°W
193,,"(43.46464414118927, -80.54146028334435)",43.46464414118927,-80.54146028334435,299,-1.0,4763.683396590409,24.43212711900102,-156.97425346085694,S23°W
194,4.0,"(43.4644417537584, -80.54157837541729)",43.4644417537584,-80.54157837541729,298,0.0,4788.11552370941,24.330334049249846,128.68440046984324,S39°E
195,,"(43.464304877302574, -80.5413436835921)",43.464304877302574,-80.5413436835921,298,0.0,4812.44585775866,24.33033405051367,128.68456191829551,S39°E
196,,"(43.46416800036178, -80.54110899282594)",43.46416800036178,-80.54110899282594,298,-1.0,4836.776191809174,24.330334048596978,128.68472336270386,S39°E
197,,"(43.46403112293602, -80.5408743031188)",43.46403112293602,-80.5408743031188,297,0.0,4861.106525857771,24.330334048446424,128.684884801632,S39°E
198,,"(43.46389424502531, -80.54063961447065)",43.46389424502531,-80.54063961447065,297,0.0,4885.436859906217,24.33033405076764,128.68504624756088,S39°E
199,,"(43.463757366629636, -80.5404049268815)",43.463757366629636,-80.5404049268815,297,-1.0,4909.767193956985,24.33033404849719,128.6852076872405,S39°E
200,,"(43.46362048774902, -80.54017024035134)",43.46362048774902,-80.54017024035134,296,0.0,4934.097528005482,24.330334050818077,128.68536912624398,S39°E
201,5.0,"(43.46348360838345, -80.53993555488016)",43.46348360838345,-80.53993555488016,296,-1.0,4958.4278620563,22.84491577175075,142.8616761870761,S53°E
202,,"(43.46331969082911, -80.53976512159053)",43.46331969082911,-80.53976512159053,295,1.0,4981.2727778280505,22.844915768907452,142.8617934268147,S53°E
203,,"(43.46315577301604, -80.53959468922189)",43.46315577301604,-80.53959468922189,296,0.0,5004.117693596958,22.844915769244302,142.86191066554395,S53°E
204,,"(43.462991854944235, -80.53942425777419)",43.462991854944235,-80.53942425777419,296,0.0,5026.962609366202,22.844915768875836,142.8620279012819,S53°E
205,,"(43.46282793661371, -80.53925382724742)",43.46282793661371,-80.53925382724742,296,1.0,5049.807525135077,22.844915770273282,142.8621451416794,S53°E
206,6.0,"(43.46266401802443, -80.53908339764159)",43.46266401802443,-80.53908339764159,297,,5072.652440905351,,,
