,polyline_point_index,coordinates,latitude,longitude,elevation_meters,elevation_gains_to_next_meters,elapsed_dist_meters,dist_to_next_coordinate_meters,true_bearing_to_next_coordinate,travel_direction
120,,"(43.477100503477544, -80.53411050327023)",43.477100503477544,-80.53411050327023,312,1.0,2990.318596167165,24.24682978218509,151.80389832566334,S62°E
121,,"(43.476908161330236, -80.5339689044716)",43.476908161330236,-80.5339689044716,313,0.0,3014.5654259493504,24.24682978422202,151.8039957526496,S62°E
122,,"(43.47671581900108, -80.53382730657123)",43.47671581900108,-80.53382730657123,313,0.0,3038.8122557335723,24.246829782373656,151.80409318082118,S62°E
123,,"(43.476523476490094, -80.5336857095691)",43.476523476490094,-80.5336857095691,313,0.0,3063.059085515946,24.246829782644447,151.80419060854587,S62°E
124,,"(43.47633113379728, -80.53354411346521)",43.47633113379728,-80.53354411346521,313,0.0,3087.3059152985907,24.246829782564028,151.80428803345606,S62°E
125,,"(43.47613879092263, -80.53340251825955)",43.47613879092263,-80.53340251825955,313,1.0,3111.5527450811546,24.246829783541795,151.80438545989227,S62°E
126,,"(43.47594644786616, -80.5332609239521)",43.47594644786616,-80.5332609239521,314,0.0,3135.7995748646963,24.24682978239813,151.8044828819355,S62°E
127,,"(43.475754104627846, -80.53311933054285)",43.475754104627846,-80.53311933054285,314,0.0,3160.0464046470943,24.246829783023045,151.80458030592635,S62°E
128,,"(43.47556176120772, -80.53297773803179)",43.47556176120772,-80.53297773803179,314,1.0,3184.2932344301175,24.246829781881075,151.80467773147018,S62°E
129,,"(43.47536941760577, -80.53283614641893)",43.47536941760577,-80.53283614641893,315,-1.0,3208.5400642119985,24.246829785331897,151.80477515177773,S62°E
130,,"(43.47517707382198, -80.53269455570423)",43.47517707382198,-80.53269455570423,314,0.0,3232.7868939973305,24.246829783481555,151.8048725681139,S62°E
131,,"(43.474984729856395, -80.53255296588767)",43.474984729856395,-80.53255296588767,314,-2.0,3257.033723780812,24.246829781984687,151.80496999037058,S62°E
132,,"(43.474792385709, -80.53241137696929)",43.474792385709,-80.53241137696929,312,-2.0,3281.2805535627967,24.246829782961303,151.8050674085747,S62°E
133,,"(43.47460004137977, -80.53226978894904)",43.47460004137977,-80.53226978894904,310,-1.0,3305.527383345758,24.246829783937724,151.80516482517498,S62°E
134,,"(43.474407696868745, -80.53212820182691)",43.474407696868745,-80.53212820182691,309,-1.0,3329.774213129696,24.246829783501983,151.8052622409335,S62°E
135,,"(43.474215352175904, -80.53198661560289)",43.474215352175904,-80.53198661560289,308,-1.0,3354.021042913198,24.246829783064324,151.80535966063957,S62°E
136,,"(43.474023007301255, -80.531845030277)",43.474023007301255,-80.531845030277,307,0.0,3378.267872696262,24.246829782983205,151.80545706955772,S62°E
137,2.0,"(43.473830662244815, -80.53170344584917)",43.473830662244815,-80.53170344584917,307,0.0,3402.5147024792454,24.112562366623642,-118.86932743388235,S61°W
138,,"(43.47372587646144, -80.53196442068774)",43.47372587646144,-80.53196442068774,307,-1.0,3426.627264845869,24.112562366846305,-118.86950698882191,S61°W
139,,"(43.473621090080506, -80.5322253946245)",43.473621090080506,-80.5322253946245,306,-2.0,3450.739827212715,24.11256236600702,-118.86968654541498,S61°W
140,,"(43.47351630310205, -80.53248636765943)",43.47351630310205,-80.53248636765943,304,0.0,3474.852389578722,24.112562366228428,-118.86986609990481,S61°W
141,,"(43.47341151552607, -80.53274733979254)",43.47341151552607,-80.53274733979254,304,0.0,3498.9649519449504,24.112562365741372,-118.870045656856,S61°W
142,,"(43.47330672735254, -80.53300831102382)",43.47330672735254,-80.53300831102382,304,0.0,3523.0775143106916,24.11256236596001,-118.87022520501237,S61°W
143,,"(43.4732019385815, -80.5332692813533)",43.4732019385815,-80.5332692813533,304,1.0,3547.1900766766516,24.112562364764685,-118.87040475973937,S61°W
144,,"(43.47309714921293, -80.53353025078094)",43.47309714921293,-80.53353025078094,305,0.0,3571.302639041416,24.11256236604201,-118.87058431048672,S61°W
145,,"(43.472992359246845, -80.53379121930678)",43.472992359246845,-80.53379121930678,305,0.0,3595.415201407458,24.112562365198716,-118.87076385842195,S61°W
146,,"(43.472887568683255, -80.53405218693081)",43.472887568683255,-80.53405218693081,305,1.0,3619.5277637726567,24.112562367888017,-118.87094340869311,S61°W
