,lon,lat,type,step,next_turn,dir,gpx_dist_to_next_waypoint_m,gpx_elapsed_dist_m,geopy_elapsed_dist_m,geopy_dist_from_last_m,weather_id
0,-91.9479613,38.8466444,waypoint,,,Head west on E 4th St toward Court St,539.0,0.0,0.0,0.0,
1,-91.94802,38.84665,,,,,,,5.121520910051868,5.121520910051868,
2,-91.94846,38.84666,,,,,,,43.242527492681,38.12100658262913,
3,-91.94891,38.84668,,,,,,,82.27672588023486,39.03419838755386,
4,-91.94966,38.84672,,,,,,,147.38013695161433,65.10341107137947,
5,-91.94971,38.84672,,,,,,,151.71022230244162,4.330085350827278,
6,-91.95012,38.84675,,,,,,,187.37327203321786,35.66304973077624,
7,-91.95077,38.84676,,,,,,,243.67533533195052,56.30206329873267,
8,-91.951,38.84677,,,,,,,263.6247287287967,19.949393396846162,
9,-91.95146,38.84678,,,,,,,303.47699890037916,39.85227017158249,
10,-91.95192,38.84679,,,,,,,343.32926347343346,39.8522645730543,
11,-91.95215,38.84679,,,,,,,363.2476364865556,19.918373013122142,
12,-91.95261,38.84681,,,,,,,403.14640371555345,39.898767228997805,
13,-91.95355,38.84681,,,,,,,484.55190531641824,81.40550160086478,
14,-91.95418,38.84681,,,,,,,539.1109117071899,54.5590063907716,
15,-91.9541799,38.8468144,waypoint,,,Continue onto Martin Luther King Jr Blvd,1383.0,539.0,539.600246714607,0.4893350074171111,
16,-91.95441,38.84681,,,,,,,559.5332790251178,19.933032310510818,
17,-91.95459,38.8468,,,,,,,575.16117642907,15.627897403952096,
18,-91.95473,38.84679,,,,,,,587.3362861031972,12.175109674127121,
19,-91.95503,38.84675,,,,,,,613.6947575101434,26.358471406946215,
20,-91.95531,38.84671,,,,,,,638.3477790851414,24.653021574997997,
21,-91.95561,38.84667,,,,,,,664.7062792881845,26.358500203043157,
22,-91.95585,38.84664,,,,,,,685.7567041565461,21.0504248683616,
23,-91.95595,38.84663,,,,,,,694.4879795766376,8.731275420091475,
24,-91.95665,38.84657,,,,,,,755.4753005269527,60.98732095031506,
25,-91.95728,38.84652,,,,,,,810.3170567067682,54.84175617981551,
26,-91.95752,38.84649,,,,,,,831.3675248449206,21.050468138152418,
27,-91.95776,38.84647,,,,,,,852.2706427710383,20.903117926117684,
28,-91.95817,38.84643,,,,,,,888.0549725793278,35.78432980828948,
29,-91.95824,38.84643,,,,,,,894.1171167815099,6.062144202182114,
30,-91.95868,38.84639,,,,,,,932.4807410025563,38.363624221046415,
31,-91.95923,38.84634,,,,,,,980.4353012037727,47.95456020121642,
32,-91.95991,38.84628,,,,,,,1039.7015215573795,59.26622035360677,
33,-91.96109,38.84618,,,,,,,1142.4954237728,102.79390221542045,
34,-91.96312,38.84599,,,,,,,1319.5633762766247,177.06795250382476,
35,-91.96362,38.84595,,,,,,,1363.0925205483954,43.52914427177081,
36,-91.96439,38.84588,,,,,,,1430.2293237728259,67.13680322443047,
37,-91.96459,38.84587,,,,,,,1447.5855269081983,17.35620313537235,
38,-91.96507,38.84586,,,,,,,1489.1697151467122,41.58418823851378,
39,-91.96557,38.84585,,,,,,,1532.4853698535078,43.315654706795506,
40,-91.96576,38.84587,,,,,,,1549.0894980618552,16.60412820834753,
41,-91.96595,38.84589,,,,,,,1565.6936216860995,16.60412362424433,
42,-91.96616,38.84591,,,,,,,1584.015657529029,18.322035842929502,
43,-91.96637,38.84595,,,,,,,1602.7382090245628,18.722551495533807,
44,-91.96658,38.84599,,,,,,,1621.4607505864697,18.72254156190692,
45,-91.96668,38.84601,,,,,,,1630.4019928525163,8.941242266046599,
46,-91.96691,38.84606,,,,,,,1651.0819558825565,20.679963030040295,
47,-91.96708,38.84611,,,,,,,1666.8191908458184,15.737234963261958,
48,-91.96722,38.84615,,,,,,,1679.7336232241032,12.914432378284797,
49,-91.96789,38.84635,,,,,,,1741.8730113223226,62.13938809821929,
50,-91.96799,38.84639,,,,,,,1751.6086288756983,9.735617553375622,
51,-91.9687,38.84661,,,,,,,1817.7836619039263,66.17503302822797,
52,-91.96896,38.84668,,,,,,,1841.6075282958702,23.82386639194403,
53,-91.96983,38.84695,,,,,,,1922.7123151825544,81.10478688668428,
54,-91.96983370000001,38.8469452,waypoint,ramp-right,ramp-right,Turn right onto the ramp to I-70,327.0,1922.0,1923.334847843078,0.6225326605235911,
55,-91.96989,38.8472,,,,,,,1952.0838122344064,28.748964391328453,
56,-91.97,38.84771,,,,,,,2009.587837663125,57.50402542871851,
57,-91.97005,38.84793,,,,,,,2034.4310145307484,24.84317686762347,
58,-91.97019,38.84851,,,,,,,2100.0538549400826,65.6228404093343,
59,-91.97027,38.84891,,,,,,,2145.0682065848373,45.0143516447549,
60,-91.97031,38.84913,,,,,,,2169.7751564324954,24.706949847657828,
61,-91.97034,38.84926,,,,,,,2184.462118634953,14.686962202457755,
62,-91.97039,38.84963,,,,,,,2225.8315186595287,41.369400024575484,
63,-91.9704,38.84969,,,,,,,2232.5591907313174,6.727672071788737,
64,-91.9704,38.84972,,,,,,,2235.895043243148,3.3358525118303715,
65,-91.97041,38.84975,,,,,,,2239.341466602971,3.4464233598232874,
66,-91.97041,38.84977,,,,,,,2241.565368277407,2.223901674435637,
67,-91.97042,38.84978,,,,,,,2242.974749637653,1.40938136024614,
68,-91.97044,38.8498,,,,,,,2245.793512133087,2.8187624954339987,
69,-91.97048,38.84983,,,,,,,2250.602528345039,4.809016211951891,
70,-91.9704768,38.8498271,waypoint,merge,merge,Merge onto US-54 E,40674.0,2249.0,2251.027705913662,0.42517756862284944,
